"date","Typhoid_fever","Gastrointestinal_bleeding","Encephalitis","Oral_rehydration_therapy","Abdominal_pain","Fever","Salmonella_enterica_subsp._enterica","Typhoid_vaccine","Bradycardia","Malaise"
"2010-01-01","1570.0","103.0","806.0","375.0","1024.0","2258.0","0.0","28.0","554.0","1035.0"
"2010-01-02","1728.0","143.0","878.0","439.0","1054.0","2734.0","0.0","25.0","694.0","1217.0"
"2010-01-03","1779.0","127.0","1025.0","364.0","1137.0","2724.0","0.0","32.0","673.0","1340.0"
"2010-01-04","3125.0","161.0","1126.0","420.0","1251.0","2966.0","0.0","62.0","836.0","1533.0"
"2010-01-05","2366.0","155.0","1163.0","409.0","1316.0","3299.0","0.0","54.0","1059.0","1584.0"
"2010-01-06","2488.0","173.0","1453.0","419.0","1426.0","3491.0","0.0","61.0","1156.0","1845.0"
"2010-01-07","2536.0","249.0","1491.0","461.0","1465.0","3679.0","0.0","51.0","1189.0","2016.0"
"2010-01-08","2410.0","194.0","1335.0","419.0","1271.0","3315.0","0.0","47.0","1163.0","1809.0"
"2010-01-09","2066.0","134.0","1211.0","432.0","1077.0","3087.0","0.0","31.0","870.0","1475.0"
"2010-01-10","2058.0","129.0","1072.0","401.0","1045.0","2837.0","0.0","34.0","859.0","1215.0"
"2010-01-11","2703.0","202.0","1509.0","740.0","1361.0","3751.0","0.0","54.0","1262.0","1850.0"
"2010-01-12","3041.0","220.0","1402.0","656.0","1316.0","3649.0","0.0","58.0","1240.0","1953.0"
"2010-01-13","2647.0","196.0","1383.0","627.0","1254.0","3496.0","0.0","46.0","1148.0","1968.0"
"2010-01-14","2744.0","189.0","1414.0","843.0","1264.0","3550.0","0.0","60.0","1226.0","1969.0"
"2010-01-15","2499.0","206.0","1396.0","674.0","1224.0","3236.0","0.0","78.0","1168.0","1870.0"
"2010-01-16","1984.0","153.0","1151.0","442.0","1078.0","2836.0","0.0","53.0","839.0","1503.0"
"2010-01-17","2064.0","125.0","1129.0","568.0","1169.0","3127.0","0.0","71.0","950.0","1395.0"
"2010-01-18","2745.0","239.0","1400.0","601.0","1503.0","3754.0","0.0","80.0","1249.0","1965.0"
"2010-01-19","2942.0","242.0","1541.0","691.0","1382.0","4113.0","0.0","99.0","1398.0","2244.0"
"2010-01-20","2830.0","223.0","1441.0","493.0","1570.0","3916.0","0.0","94.0","1341.0","2105.0"
"2010-01-21","2963.0","216.0","1518.0","567.0","1345.0","3618.0","0.0","101.0","1348.0","1986.0"
"2010-01-22","2978.0","219.0","1438.0","525.0","1290.0","3427.0","0.0","81.0","1242.0","1975.0"
"2010-01-23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
