Disease,"Offset(wiki,gt)",flu,haemophilus,flu,Hepatitis_A,flu,Hepatitis_C,flu,Listerosis,flu,Lyme,flu,Malaria,flu,Measles,flu,Pertussis,flu,Q-Fever,flu,Typhoid-Fever
Haemophilus,"0,0",0.1442948295,0.6896395078,0.1766961804,1.1977570219,0.1348579341,1.0084917089,0.1133357751,0.6126672942,0.1089602615,0.6453726103,0.1097770894,1.073206035,0.1075460258,0.0194904995,0.1087252729,0.6913346278,0.1635850718,1.1025098629,0.1403993562,0.9483282121
Haemophilus,"0,-1",0.1130595959,0.683960553,0.1585868356,1.2161008881,0.1268317485,0.9997641542,0.1026326662,0.5293176608,0.0994539608,0.5805126272,0.1078897189,1.0592292639,0.0817355413,0.0193038754,0.0929253098,0.5827847178,0.1432743421,1.1160407081,0.1541561981,0.9642405795
Haemophilus,"0,-2",0.109183271,0.6635194288,0.1381716889,1.1896144643,0.1463509942,1.0205709123,0.1230136147,0.6867257062,0.1121881251,0.5475064852,0.0923159384,0.9945479877,0.1308385962,0.0188532145,0.1131286639,0.5445506236,0.1503833677,1.1074117418,0.1278427314,0.9552767548
Haemophilus,"-2,0",0.1508643935,0.6909186982,0.1847461884,1.1902051166,0.1460272648,0.9971493553,0.1115013282,0.6150469329,0.0978416612,0.6310902506,0.1143192931,1.0860259022,0.0969867699,0.0191054309,0.121899297,0.6788792664,0.1536860333,1.1091150384,0.135482867,0.9395327939
Haemophilus,"-2,-1",0.1142351865,0.6845868502,0.1624849924,1.2154462987,0.1363847197,0.9879645639,0.0974087012,0.5521151648,0.0998444571,0.5623768858,0.1279512885,1.0769100828,0.067788756,0.020592164,0.0972113524,0.5936483516,0.1410197652,1.112984254,0.1534626542,0.9668240776
Haemophilus,"-2,-2",0.1090931803,0.6680132493,0.1650359281,1.1968648588,0.1442765998,1.0140669423,0.1452337862,0.6401899565,0.1085295492,0.5252985033,0.0935134255,0.991510216,0.0992252915,0.018655827,0.1104939317,0.5673412417,0.138152344,1.1113613764,0.1163393732,0.9556460479
Haemophilus,"-4,0",0.1416695833,0.6830813284,0.1771304636,1.2090105807,0.1531464246,0.9779587941,0.1138286583,0.6108595549,0.1147784036,0.6348698921,0.1138683093,1.0896502125,0.1206340187,0.0196841592,0.1276145247,0.6531651965,0.1747054407,1.0963342155,0.1364818687,0.9060198231
Haemophilus,"-4,-1",0.1172930049,0.6754420505,0.1619994054,1.2227955904,0.1388513363,0.9724007657,0.1032452649,0.6024974396,0.08353046,0.5777273304,0.1320320193,1.0771545632,0.0700751857,0.0197054593,0.1022048075,0.59486827,0.1495173762,1.1047117314,0.1568067258,0.9290828122
Haemophilus,"-4,-2",0.1132693661,0.6723290242,0.1433818277,1.2056967505,0.1362122774,0.9743248534,0.1375783206,0.7118657777,0.1039400486,0.5260549223,0.0969300568,0.9791049422,0.0912222876,0.0183256172,0.1137385605,0.5833091843,0.1523359994,1.0929146309,0.122219062,0.9157928751
Haemophilus,"-6,0",0.1305365778,0.6815946399,0.1950684128,1.2609575341,0.1470110596,0.9933150787,0.1189475321,0.6184203276,0.1150404669,0.6930930006,0.1165232958,1.059000406,0.1142528327,0.0199846507,0.1268672807,0.6022211503,0.145940936,1.1025931615,0.1308652193,0.9043623818
Haemophilus,"-6,-1",0.1112000044,0.6679615105,0.1615309849,1.2724877948,0.1211867231,0.9788430865,0.1053368196,0.6045211953,0.0897767556,0.6317564101,0.1349546889,1.0574109803,0.0683200985,0.0192919874,0.108793145,0.5775350894,0.146051546,1.1113976332,0.1606851974,0.9278534276
Haemophilus,"-6,-2",0.1116851276,0.6763948045,0.1547135332,1.2582972184,0.1385933914,0.956645069,0.1440167634,0.7156508542,0.1009792804,0.5677226848,0.1001869344,0.9768249619,0.0989865853,0.0186058315,0.1277602183,0.5713564199,0.1635106037,1.0900582336,0.1208890196,0.9074690583
Haemophilus,"-8,0",0.127025743,0.669585161,0.1658336374,1.2081361976,0.1184894859,0.9648741625,0.1159441003,0.6700003356,0.1054325544,0.6824309624,0.1181828016,1.0372775201,0.1134962692,0.0198487283,0.1230613332,0.5605748621,0.1404082384,1.0981091413,0.1164747925,0.9140729924
Haemophilus,"-8,-1",0.106337217,0.6591799738,0.1371835971,1.2146842128,0.1115413094,0.9644899841,0.1156878715,0.6166840956,0.0881400718,0.6459760106,0.1225902477,1.0269163719,0.0683695944,0.0198240273,0.1181556449,0.5717176344,0.1410333129,1.1121443732,0.1467205722,0.9269274076
Haemophilus,"-8,-2",0.1132700822,0.6811409849,0.1488387718,1.1896232898,0.1410442153,0.9623191637,0.1683377869,0.7575143765,0.09513987,0.6013187277,0.1222441432,0.9810988987,0.111325608,0.0188815406,0.12084012,0.568730043,0.1584499742,1.0905043389,0.1371285954,0.910734237
